Sage Shelton,Pomona College,mymail.pomona.edu,2,Environmental Microbiology | Fermentation Microbiology,https://scholar.google.com/citations?hl=en&user=rzMb4DsAAAAJ
Elias van Emmerick,Pomona College,pomona.edu,2,Behavioral economics | economic analysis of law,https://scholar.google.com/citations?hl=en&user=pFhS-N4AAAAJ
Maddalena Poli,Pomona College,pomona.edu,2,Early China | manuscript studies | Chinese studies | intellectual history,https://scholar.google.com/citations?hl=en&user=guPZ1LAAAAAJ
Sofia Dartnell,Pomona College,cam.ac.uk,2,entomology | pollinator ecology | conservation | land management,https://scholar.google.com/citations?hl=en&user=7op5yLgAAAAJ
Jiayi Zhao,Pomona College,mymail.pomona.edu,2,Not Mentioned,https://scholar.google.com/citations?hl=en&user=cEchHaYAAAAJ
Simon Heck,"Computer Science, Pomona College",mymail.pomona.edu,1,Artifical Intelligence | Machine Learning | Deep Learning | Speech and Language Processing,https://scholar.google.com/citations?hl=en&user=rHUmXVwAAAAJ
Joshua Propp,"BA Environmental Analysis/Policy, Pomona College",mymail.pomona.edu,Not Mentioned,Environmental Politics | Energy Politics | Environmental Economics | Renewable Energy | Solar Energy,https://scholar.google.com/citations?hl=en&user=w9FQwnQAAAAJ
Joanmarie Del Vecchio,Pomona College,pomona.edu,Not Mentioned,Geomorphology,https://scholar.google.com/citations?hl=en&user=UgfkYNkAAAAJ
Claire Li,Pomona College,pomona.edu,Not Mentioned,Taiwan studies | … and modern Chinese and Sinophone studies | Modern and postcolonial East Asia | Environmental issues and,https://scholar.google.com/citations?hl=en&user=Kjas6R4AAAAJ
Shan Ming Gao,Pomona College,mymail.pomona.edu,Not Mentioned,Natural Language Processing | Data Science | Biology,https://scholar.google.com/citations?hl=en&user=uISpoUQAAAAJ
