Susan W. Woolley,"Associate Professor of Educational Studies and LGBTQ Studies, Colgate University",colgate.edu,183,Not Mentioned,https://scholar.google.com/citations?hl=en&user=HYkL52wAAAAJ
Aradhana Pindwal,"Iowa State University, Colgate-Palmolive Company, Reckitt",alumni.iastate.edu,177,Inorganic Chemistry | Organometallic Chemistry,https://scholar.google.com/citations?hl=en&user=Sdwqtn4AAAAJ
Danielle Lupton,Colgate University,colgate.edu,175,International Security | Foreign Policy | Reputations and Signaling | Coercion | Civil-Military Relations,https://scholar.google.com/citations?hl=en&user=FelRenYAAAAJ
Brenton Sullivan,Colgate University,colgate.edu,172,Buddhism | Asian history | Tibet | China | religious studies,https://scholar.google.com/citations?hl=en&user=wlHfZUkAAAAJ
Heather Roller,Colgate University,colgate.edu,165,Ethnohistory | Brazil | Amazonia | Borderlands | Environmental History,https://scholar.google.com/citations?hl=en&user=V1lAg8EAAAAJ
Emilio,Colgate University,colgate.edu,163,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ZFkfFh4AAAAJ
Reyan Ahmed,"Visiting faculty, Colgate University",email.arizona.edu,161,Graph Algorithms | Network Visualization | Data Science,https://scholar.google.com/citations?hl=en&user=FoFMJhoAAAAJ
Sam Rosenfeld,Colgate University,colgate.edu,160,Not Mentioned,https://scholar.google.com/citations?hl=en&user=mUdv_9sAAAAJ
Robert Davis,Colgate University,colgate.edu,157,Polyhedral geometry | applied algebraic geometry | algebraic combinatorics | commutative algebra | permutation patterns,https://scholar.google.com/citations?hl=en&user=YoYqIUcAAAAJ
Brenda N. Sanya,"Educational Studies, Colgate University",colgate.edu,155,Not Mentioned,https://scholar.google.com/citations?hl=en&user=bvQyrW8AAAAJ
Stanley Brubaker,Colgate University,colgate.edu,154,Not Mentioned,https://scholar.google.com/citations?hl=en&user=NFmrkmAAAAAJ
Lesleigh Cushing Stahlberg,Colgate University,colgate.edu,145,Hebrew Bible | Jewish Studies | biblical interpretation,https://scholar.google.com/citations?hl=en&user=doapxmkAAAAJ
Jacob Klein,"Associate Professor of Philosophy, Colgate University",colgate.edu,123,ancient ethics,https://scholar.google.com/citations?hl=en&user=bWLBxIMAAAAJ
Navine Murshid,"Associate Professor of Political Science, Colgate University",colgate.edu,118,migration | IPE | South Asia,https://scholar.google.com/citations?hl=en&user=8H_v7NsAAAAJ
Valerie Morkevičius,Colgate University,colgate.edu,111,just war | international relations | military ethics | realism,https://scholar.google.com/citations?hl=en&user=sEv8ff0AAAAJ
Gaurav Ragtah,"Researcher, Columbia University, Colgate University",columbia.edu,111,data science | machine learning | natural language processing | artificial intelligence,https://scholar.google.com/citations?hl=en&user=EyiCd_gAAAAJ
Tim Coleman,University of Southern California,colgate.edu,102,statistical learning | permutation tests | random forests | climatology | data assimilation,https://scholar.google.com/citations?hl=en&user=7i27TkcAAAAJ
Richard Klotz,"Assistant Professor of Economics, Colgate University",colgate.edu,99,Environmental Economics,https://scholar.google.com/citations?hl=en&user=6r9st8cAAAAJ
Nagesh Rao,"Lecturer, University Studies, Colgate University",colgate.edu,99,Postcolonial studies | Marxism | South Asia,https://scholar.google.com/citations?hl=en&user=yjLTOtQAAAAJ
Sam Stiegler,Colgate University,colgate.edu,95,education | queer and trans youth studies | queer of color critique | mobile methodology,https://scholar.google.com/citations?hl=en&user=bGY9OTkAAAAJ
Emily Mitchell-Eaton,"Assistant Professor of Geography, Colgate University",colgate.edu,91,Immigration | feminist geography | US empire | race and racialization | Pacific Islands,https://scholar.google.com/citations?hl=en&user=Jg6W8C8AAAAJ
Joseph S Spina,"Colgate University, Harvard Medical School, Brigham and Women's Hospital, Channing …",colgate.edu,80,Molecular biology | immunology | bacteriology | drug discovery | transcriptomics,https://scholar.google.com/citations?hl=en&user=lSKVfeQAAAAJ
Anna C Talucci,Colgate University,colgate.edu,79,Forest Ecology | Disturbance Ecology | Remote Sensing,https://scholar.google.com/citations?hl=en&user=YqFQjs8AAAAJ
Jennifer Lin LeMesurier,Colgate University,colgate.edu,75,rhetoric | embodiment,https://scholar.google.com/citations?hl=en&user=2lYgIGQAAAAJ
Chandra Russo,Colgate University,colgate.edu,74,social movements,https://scholar.google.com/citations?hl=en&user=ox6fW6IAAAAJ
Genevieve Aku Alorbi,Colgate University,colgate.edu,74,Health Economics | Applied Microeconomics | International and Development Economics,https://scholar.google.com/citations?hl=en&user=bVuCBxcAAAAJ
Jenna Reinbold,"Associate Professor of Religion, Colgate University",colgate.edu,72,religion | politics | law | secularism,https://scholar.google.com/citations?hl=en&user=_b53HHYAAAAJ
Jacqueline Villarrubia-Mendoza,Colgate University,colgate.edu,72,Sociology | Puerto Rican Studies | Latin American Studies,https://scholar.google.com/citations?hl=en&user=1oaHnPkAAAAJ
Ian Helfant,"… Professor of Russian & Eurasian Studies and Environmental Studies, Colgate University",colgate.edu,71,ecocriticism | Russian culture,https://scholar.google.com/citations?hl=en&user=Vz87V80AAAAJ
Maura Tumulty,"Associate Professor of Philosophy, Colgate University",colgate.edu,71,philosophy of mind | moral psychology | feminist philosophy,https://scholar.google.com/citations?hl=en&user=4bbquh4AAAAJ
Juan Fernando Ibarra Del Cueto,"Assistant Professor of Political Science, Colgate University",colgate.edu,70,Comparative Politics | State Building | Democratization | Political Economy | Subnational Politics,https://scholar.google.com/citations?hl=en&user=aY8D0K8AAAAJ
Yang Song,Colgate University,colgate.edu,67,Economics of Education | Chinese Economy | Behavioral Economics | Development Economics,https://scholar.google.com/citations?hl=en&user=5uJkXBoAAAAJ
Haochuan Wei,Colgate University,alumni.colgate.edu,64,Computational Chemistry,https://scholar.google.com/citations?hl=en&user=ydFtBrgAAAAJ
Michael Connolly,"Assistant Professor of Economics, Colgate University",colgate.edu,62,Not Mentioned,https://scholar.google.com/citations?hl=en&user=p6F_JWMAAAAJ
Shervin Malekzadeh,"Visiting Researcher, Colgate University",georgetown.edu,57,Iran | Middle East Studies | Cultural Studies | Identity | Political Science,https://scholar.google.com/citations?hl=en&user=-MlvaNEAAAAJ
Matthew Philip Makofske,"Department of Economics, Colgate University",colgate.edu,50,Applied Microeconomics | Industrial Organization | Law and Economics,https://scholar.google.com/citations?hl=en&user=iMlB9GoAAAAJ
Marta Perez-Carbonell,"Assistant Professor of Spanish, Colgate University",colgate.edu,42,Not Mentioned,https://scholar.google.com/citations?hl=en&user=GYIO__8AAAAJ
Rishi Sharma,Colgate University,colgate.edu,42,international trade | public finance,https://scholar.google.com/citations?hl=en&user=lwP3UeEAAAAJ
Benjamin Lennertz,"Assistant Professor of Philosophy, Colgate University",colgate.edu,41,philosophy of language | epistemology | philosophy of mind,https://scholar.google.com/citations?hl=en&user=g_MH7wQAAAAJ
David MA Murphy,Colgate University,colgate.edu,40,Development | Social Capital | Agriculture | Networks,https://scholar.google.com/citations?hl=en&user=q2v7iokAAAAJ
Chrystian Zegarra,Colgate University,colgate.edu,28,Latin American Literature and Film,https://scholar.google.com/citations?hl=en&user=dDBLCHYAAAAJ
Benjamin C Anderson,Colgate University,colgate.edu,27,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8zhd8jAAAAAJ
Rachel Grace Newman,Colgate University,colgate.edu,24,Mexican and Latin American history,https://scholar.google.com/citations?hl=en&user=xSikpmEAAAAJ
Caleb Levy,"Physics Major, Colgate University",colgate.edu,20,Dark Matter,https://scholar.google.com/citations?hl=en&user=_Lf3FoQAAAAJ
penny lane,Colgate University,colgate.edu,19,Not Mentioned,https://scholar.google.com/citations?hl=en&user=3l0-EWgAAAAJ
Monica L. Mercado,Colgate University,colgate.edu,13,US women's and gender history | religion in American culture | girlhood studies | history of sexuality | public history,https://scholar.google.com/citations?hl=en&user=fWlkdEYAAAAJ
Avinandan Chakraborty,"Visiting Assistant Professor, Department of Economics, Colgate University, USA",colgate.edu,11,Labor Economics | Development Economics | Migration,https://scholar.google.com/citations?hl=en&user=5CGagfwAAAAJ
Isla Globus-Harris,"Assistant Professor of Economics, Colgate University",colgate.edu,8,Environmental economics,https://scholar.google.com/citations?hl=en&user=emkrmo8AAAAJ
Phil Richards,Colgate University,colgate.edu,7,early African American Literature,https://scholar.google.com/citations?hl=en&user=5LKJXIMAAAAJ
Haley Kottler,"PhD Student, University of Wisconsin-Madison",wisc.edu,7,applied probability,https://scholar.google.com/citations?hl=en&user=dpNlS_oAAAAJ
C. Richard Higgins,Colgate University,colgate.edu,5,Macroeconomics | Monetary Policy | Bayesian Econometrics,https://scholar.google.com/citations?hl=en&user=2SKF2XAAAAAJ
Sean Inoue,"Visiting Assistant Professor of Economics, Colgate University",colgate.edu,2,Game Theory | Experimental Economics | Behavioral Economics,https://scholar.google.com/citations?hl=en&user=xoHQ7wwAAAAJ
Fran Fairbairn,Colgate University,cornell.edu,1,Philosophy of Science | Epistemology | Metaphysics | Philosophy of Education | Pedagogy,https://scholar.google.com/citations?hl=en&user=09VKl8wAAAAJ
Dominique Brabant,Colgate University,colgate.edu,1,Not Mentioned,https://scholar.google.com/citations?hl=en&user=fP6cnAIAAAAJ
Jennifer Tomlinson,Colgate University,colgate.edu,Not Mentioned,close relationships and health,https://scholar.google.com/citations?hl=en&user=xQU4CegAAAAJ
Analiza Grabowski,Colgate University,colgate.edu,Not Mentioned,Women's Health and Medicine,https://scholar.google.com/citations?hl=en&user=6EPeYikAAAAJ
L. Hazel Jack,"Syracuse University, Colgate University",syr.edu,Not Mentioned,Higher Education Leadership,https://scholar.google.com/citations?hl=en&user=Q0UsvtUAAAAJ
Luke A. Calderaro,"Research Associate, Colgate University",colgate.edu,Not Mentioned,biogeochemistry | marine biology | microbes,https://scholar.google.com/citations?hl=en&user=56M_O88AAAAJ
