Ramana Reddy,"Professor, department of  physics,Osmania University,Hyderabad",Not Mentioned,1920,Thin films | nano materials | core-shell nanostructures | multiferroic materials | gas sensors,https://scholar.google.com/citations?hl=en&user=UvJ_umoAAAAJ
Surajit Dhara,University of Hyderabad,uohyd.ernet.in,1904,Soft Matter | Liquid Crystals | Optics,https://scholar.google.com/citations?hl=en&user=rKcTepoAAAAJ
Roy Karnati,University of Hyderabad,uohyd.ac.in,1898,Inflammation and cellular homeostasis,https://scholar.google.com/citations?hl=en&user=BXrUO70AAAAJ
Subha Mahadevi Alladi,University of Washington; IICT Hyderabad,uw.edu,1873,Computational Chemistry and Biology,https://scholar.google.com/citations?hl=en&user=xeShDsQAAAAJ
Atul Negi,"Professor, School of Computer and Information Sciences, University of Hyderabad",uohyd.ac.in,1839,Pattern Recognition | Machine Learning | IoT,https://scholar.google.com/citations?hl=en&user=-rvDlDIAAAAJ
Chakravarthula Manoharachary,"Osmania University, Hyderabad Department of Botany",osmania.ac.in,1821,Mycology | Plant Pathology | Biodiversity,https://scholar.google.com/citations?hl=en&user=1LsN-yEAAAAJ
Dr. Prathibha Devi Cherku /B,"Professor & Head, Department of Botany, Osmania University, Hyderabad, 500007, India",osmania.ac.in,1787,Molecular Genetics | Plant Biotechnology | Bioinformatics and bioremediation,https://scholar.google.com/citations?hl=en&user=A_xH2asAAAAJ
"Prof. Sarada D Tetali, Ph.D.","Professor, Department of Plant Sciences, University of Hyderabad, India",uohyd.ac.in,1787,Plant secondary products and Phytomedicine,https://scholar.google.com/citations?hl=en&user=qg9kaYsAAAAJ
Sunandana Channappayya,"Honorary Professor, University of Hyderabad",Not Mentioned,1781,Solid State Ionics | Materials Physics | Nanoscience of Soft Matter,https://scholar.google.com/citations?hl=en&user=Ot7oqUQAAAAJ
Raghavendra Rao chillarige,"Senior Professor, School of CIS, University of Hyderabad",uohyd.ac.in,1680,Simulation & Modeling and Knowledge …,https://scholar.google.com/citations?hl=en&user=4NeIPTcAAAAJ
Manigandan Ramadoss,University of Madras/ University of Hyderabad/ UESTC,uohyd.ac.in,1655,Electrochemistry | Physical Chemistry | electrocatalysis | nanotechnology,https://scholar.google.com/citations?hl=en&user=GAyCC5QAAAAJ
Radheshyam Maurya,University of Hyderabad,uohyd.ernet.in,1621,Immunology and Biochemistry of …,https://scholar.google.com/citations?hl=en&user=9MbuxFcAAAAJ
P. Prem Kiran,"School of Physics, University of Hyderabad",uohyd.ac.in,1611,Laser-matter interaction | fs pulse pulamentation | laser induced shcowave generation and …,https://scholar.google.com/citations?hl=en&user=yXEub24AAAAJ
Ramesh Kumar Mishra,Center for Neural and Cognitive Scinces. University of Hyderabad,uohyd.ac.in,1586,Psycholinguistics | Vision | Attention | Action | Control,https://scholar.google.com/citations?hl=en&user=aWaIy0sAAAAJ
Madhuchhanda Bhattacharjee,"Professor, University of Hyderabad",uohyd.ernet.in,1569,Bayesian modelling | bioinformatics | genetics | reliability | survival analysis,https://scholar.google.com/citations?hl=en&user=yTmW-L0AAAAJ
SG Tagare,University of Hyderabad,Not Mentioned,1460,Not Mentioned,https://scholar.google.com/citations?hl=en&user=hTjaYpAAAAAJ
"ramaiah kolluru ,  Atchuta Ramaiah KV, Ramaiah KV","University of Hyderabad, Dept Biochemistry, School of Life Sciences",uohyd.ernet.in,1456,eIF2 | ER stress | Ageing | Protein Synthesis | wounding,https://scholar.google.com/citations?hl=en&user=Q3KNtQUAAAAJ
C Bansal,"Professor of Physics, University of Hyderabad",uohyd.ernet.in,1436,condensed matter physics | nano materials and devices,https://scholar.google.com/citations?hl=en&user=j0AM4yIAAAAJ
Siddharthan Surveswaran,University of Hyderabad,uohyd.ac.in,1413,Not Mentioned,https://scholar.google.com/citations?hl=en&user=4UHu0bAAAAAJ
Prakash Jogadhenu,university of hyderabad,uohyd.ernet.in,1412,genomics | abiotic stress | cyanobacteria | transcription factor | database,https://scholar.google.com/citations?hl=en&user=Ukc20BMAAAAJ
Ravi Kumar Gutti,"Professor of Biochemistry, University of Hyderabad",uohyd.ac.in,1381,Cell & Developmental Biology | Immunology | Epigenetics & Cell Signaling | Hematology | Molecular Medicine,https://scholar.google.com/citations?hl=en&user=vjy62H4AAAAJ
"Dr.  Mallesham Baithy, PhD","Assistant Professor of Chemistry, GITAM University Hyderabad, Telangana, India",iith.ac.in,1354,Heterogeneous Catalysis | Green Chemistry | Material Chemistry | Biomass Valorisation | and Solid Acids,https://scholar.google.com/citations?hl=en&user=O274FNsAAAAJ
Dr. Insaf Ahmed Qureshi,University of Hyderabad,uohyd.ac.in,1352,Structural Biology,https://scholar.google.com/citations?hl=en&user=_VxXp-YAAAAJ
RAJA SHEKHAR BELLAMKONDA,"School of Management Studies, University of Hyderabad",uohyd.ac.in,1338,Service Quality | Supply Chain Management | Research Methodology,https://scholar.google.com/citations?hl=en&user=tVBoHkEAAAAJ
Sreelakshmi Yellamaraju,University of Hyderabad,Not Mentioned,1320,Tomato functional genomics,https://scholar.google.com/citations?hl=en&user=OaAa6LgAAAAJ
Venkataiah GORIGE,"School of Physics, University of Hyderabad, Hyderabad 500046, INDIA",uohyd.ernet.in,1301,Magnetic Materials & Multiferroics,https://scholar.google.com/citations?hl=en&user=4r3vFJsAAAAJ
Arun Agarwal,"Senior Professor (Retd.), University of Hyderabad",uohyd.ernet.in,1300,Image Processing | Pattern Recognition | Computer Vision | Neural Networks,https://scholar.google.com/citations?hl=en&user=ibBz-NAAAAAJ
Dayananda Siddavattam,"… Sciences, School of Life Sciences, University of Hyderabad, Hyderabad - 500 046, India",uohyd.ernet.in,1283,Molecular Microbiology | Biodegradation | sRNA | Regulation of gene expression,https://scholar.google.com/citations?hl=en&user=MSFRh_gAAAAJ
Koteswararao V Rajulapati,"Professor, School of Engineering Sciences and Technology, University of Hyderabad",uohyd.ac.in,1248,Deformation Behavior | Materials Design | High Entropy Materials | Additive Manufacturing,https://scholar.google.com/citations?hl=en&user=krGjWqwAAAAJ
Vishnubhotla Chakravarthi,"Centre for Earth, Ocean & Atmospheric Sciences, University of Hyderabad, India.",ngri.res.in,1242,Exploration Geophysics,https://scholar.google.com/citations?hl=en&user=0-tGl5AAAAAJ
N Yadaiah,"Professor of EEE, Jawaharlal Nehru Technological University Hyderabad",jntuh.ac.in,1242,AI Techniques | Neural Networks | Fuzzy Logic | Real Time Systems | Control Systems,https://scholar.google.com/citations?hl=en&user=YvkS-wIAAAAJ
Dr. Sadaf Kalam,University of Hyderabad and St. Ann's College for Women,uohyd.ac.in,1232,Plant growth promoting rhizobacteria | metagenomics,https://scholar.google.com/citations?hl=en&user=-MFn6uAAAAAJ
CK Mitra,university of hyderabad,uohyd.ernet.in,1224,biochemistry | biophysics,https://scholar.google.com/citations?hl=en&user=6hsgb6gAAAAJ
Salahuddin SYED,"Associate professor of Chemistry, Maulana Azad National Urdu University, Hyderabad, India",manuu.edu.in,1221,Organic Chemistry,https://scholar.google.com/citations?hl=en&user=-T0G3QEAAAAJ
Vikas D. Ghule,"… Institute of Technology Kurukshetra, University of Hyderabad, High Energy Materials",nitkkr.ac.in,1208,High energy materials | Organic chemistry,https://scholar.google.com/citations?hl=en&user=ZHqv4o8AAAAJ
Dr. Krishnamurthi Muralidharan,University of Hyderabad,uohyd.ac.in,1184,Inorgnic materials | polymers,https://scholar.google.com/citations?hl=en&user=fTq2wrEAAAAJ
Phanithi Prakash Babu,"Department of Biotechnology & Bioinformatics, University of Hyderabad, Hyderabad (TS) …",uohyd.ac.in,1177,Neurodegeneration | Cerebral Ischemia | Cerebral Malaria | Glioma | Meningioma,https://scholar.google.com/citations?hl=en&user=bPnFuz0AAAAJ
E. Harikumar,"School of Physics, University of Hyderabad",uohyd.ernet.in,1124,Physics | High Energy Physics,https://scholar.google.com/citations?hl=en&user=rqc24vcAAAAJ
Prof.Srinivasarao Yaragorla,University of Hyderabad,uohyd.ac.in,1117,Organic and Medicinal Chemistry,https://scholar.google.com/citations?hl=en&user=3OnXnd8AAAAJ
Professor Srinivasarao Yaragorla,University of Hyderabad,uohyd.ac.in,1117,Organic Chemistry,https://scholar.google.com/citations?hl=en&user=Oob0wpAAAAAJ
Dr. Jaya Laxmi Askani,"Professor and Head, Dept., of EEE, Jawaharlal Nehru Technological University, Hyderabad",jntuh.ac.in,1104,Distributed Generation | Smart Grid | AI Applications to Power System,https://scholar.google.com/citations?hl=en&user=YkagciAAAAAJ
parveen jahan,"School of Sciences,MANUU(A Central University),Gachibowli,Hyderabad,AP,India",manuu.edu.in,1078,Immuno Genetics | Human Genetics,https://scholar.google.com/citations?hl=en&user=4Goo-AgAAAAJ
SWATI GHOSH ACHARYYA,"… Professor, School of Engineering Sciences and Technology, University of Hyderabad, India",uohyd.ernet.in,1076,Corrosion and Surface Engineering,https://scholar.google.com/citations?hl=en&user=z5czyT0AAAAJ
R. Singh,University of Hyderabad,uohyd.ernet.in,1068,Magnetism | superconductivity | ferrofluids | Thin films | oxide glasses,https://scholar.google.com/citations?hl=en&user=tjqmUTYAAAAJ
Siva Kumar Nadimpalli,"Professor of Biochemistry, University of Hyderabad",uohyd.ernet.in,1061,Protein Biochemistry | Cell Biology | Glycobiology,https://scholar.google.com/citations?hl=en&user=RDibXIQAAAAJ
Umesh Kumar,University of Hyderabad,Not Mentioned,1054,Cryptography,https://scholar.google.com/citations?hl=en&user=CoAfq2kAAAAJ
Irfan Ahmad Ghazi,"Assistant Professor of Plant Sciences, University of Hyderabad",uohyd.ernet.in,1048,Functional genomics | Medicinal plants,https://scholar.google.com/citations?hl=en&user=zkr1uHgAAAAJ
Annadhasan M,"Post-Doctoral Fellow, University of Hyderabad, India",uohyd.ac.in,1022,Nanomaterials | sensors | Photonics,https://scholar.google.com/citations?hl=en&user=iI5tPxAAAAAJ
Manoj kumar,Associate Professor at University of Hyderabad,uohyd.ac.in,1015,LIBS | Machine learning | Combustion modeling | High energy Materials | Raman Spectroscopy,https://scholar.google.com/citations?hl=en&user=lCVwC0EAAAAJ
Dr Krishna Reddy Chittedi,University of Hyderabad,uohyd.ac.in,970,Macroeconomic policy analysis | Energy Economics | Financial Economics | Developmental issues and Indian Agriculture.,https://scholar.google.com/citations?hl=en&user=_VYoSeAAAAAJ
Dr. K. Shiva Kumar,"Assistant Professor in Chemistry, Department of Chemistry, Osmania University, Hyderabad",osmania.ac.in,965,Not Mentioned,https://scholar.google.com/citations?hl=en&user=fzGgCrgAAAAJ
Anireddy Jayashree,"Professor of Chemistry, Jawaharlal Nehru Technological University, Hyderabad, India",jntuh.ac.in,961,Drug Design | molecular modelling | Organic Synthesis | Natural products | Green Chemistry,https://scholar.google.com/citations?hl=en&user=H-co5jcAAAAJ
Suri KC,"Department of Political Science, University of Hyderabad",uohyd.ernet.in,960,Indian Politics | Political Parties | Election Studies | Political Economy | Democracy studies,https://scholar.google.com/citations?hl=en&user=m7Mkyb8AAAAJ
Santosh Kumar Padhi,"… Professor, Department of Biochemistry, School of Life Sciences, University of Hyderabad",uohyd.ac.in,954,Biocatalysis | protein engineering | enzyme technology,https://scholar.google.com/citations?hl=en&user=SDFFWOEAAAAJ
