Wei Wang,San Diego State University & Claremont Graduate University,rohan.sdsu.edu,196,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Ej3D-Z4AAAAJ
Tamir Bechor,"Professor of Information Systems and Technology, Claremont Graduate University",cgu.edu,185,Digitization | Innovation | Cyber Security | Automotive | Risk Management,https://scholar.google.com/citations?hl=en&user=FZ_bwiAAAAAJ
Benjamin R. Thomas,"Rutgers, The State University of New Jersey; Claremont Graduate University",cgu.edu,175,Autism | Developmental and Child Clinical Psychology | Applied Behavior Analysis,https://scholar.google.com/citations?hl=en&user=rk72mAUAAAAJ
Patricia Easton,"Provost and Professor, Claremont Graduate University",cgu.edu,166,Philosophy | early modern philosophy | history of science | 17th century French philosophy,https://scholar.google.com/citations?hl=en&user=jssuKWcAAAAJ
"Zining Yang, Ph.D.",Claremont Graduate University,cgu.edu,151,Modeling and Simulation | Data Analytics | Political Economy,https://scholar.google.com/citations?hl=en&user=tBNcMTQAAAAJ
Florencio (Jun) Kabigting Jr,"PhD Student, Claremont Graduate University",cgu.edu,150,Strengths-based Talent Management & … | Paradox Theory | Positive Pychology | Positive HR | Human Resources Mgt,https://scholar.google.com/citations?hl=en&user=6ggy-tsAAAAJ
Valeska Dubon,Claremont Graduate University,cgu.edu,146,Not Mentioned,https://scholar.google.com/citations?hl=en&user=g0QWlFgAAAAJ
Sarah Alismail,Claremont Graduate University,cgu.edu,139,Health Informatics | Medical Informatics | eHealth | Health Promotion | Information Systems and Technology,https://scholar.google.com/citations?hl=en&user=b-0L6nAAAAAJ
Ran Zhao,"PhD Student, Claremont Graduate University",cgu.edu,128,Credit Risk | Mathematical Finance | Machine Learning,https://scholar.google.com/citations?hl=en&user=N53CsIgAAAAJ
Elizabeth Terris,Research Professor at Claremont Graduate University,neuroeconomicstudies.org,128,Not Mentioned,https://scholar.google.com/citations?hl=en&user=jsWMNhcAAAAJ
Erica Abed,Claremont Graduate University,cgu.edu,111,Not Mentioned,https://scholar.google.com/citations?hl=en&user=WOXSxhwAAAAJ
Christopher C. Smith,Claremont Graduate University,cgu.edu,107,Religious History | Mormon Studies | Sociology of Religion | International Relations,https://scholar.google.com/citations?hl=en&user=IY53lNkAAAAJ
Nicole Galport,Claremont Graduate University,cgu.edu,103,Program Evaluation,https://scholar.google.com/citations?hl=en&user=NsuO98kAAAAJ
Carlos Algara,"Assistant Professor, Department of Politics & Government, Claremont Graduate University",cgu.edu,103,American Politics | Representation | Legislative Politics | Political Behavior,https://scholar.google.com/citations?hl=en&user=AJASqUMAAAAJ
Elvin Yao,Claremont Graduate University,cgu.edu,100,Social Psychology | Culture Psychology | Stigma,https://scholar.google.com/citations?hl=en&user=_S-v2bsAAAAJ
Shuan He,San Diego State University & Claremont Graduate University,cgu.edu,98,Wireless network | Multimedia,https://scholar.google.com/citations?hl=en&user=vJSPxbgAAAAJ
Angela Mouton,Claremont Graduate University,montijomouton.com,95,Positive Psychology | Organizational Psychology,https://scholar.google.com/citations?hl=en&user=NdpgfqsAAAAJ
Ruqayya Y. Khan,"Associate Professor of Religion, Claremont Graduate University",cgu.edu,87,The Qur'an | Arabic literatures | Women in Islam | Islam and the digital age | progressive Islamic theologies,https://scholar.google.com/citations?hl=en&user=2BbemosAAAAJ
JoAnna Poblete,"Associate Professor of History, Claremont Graduate University",cgu.edu,85,empire and colonialism | comparative ethnic studies | indigenity and the environment | Asian American and Pacific Islanders Studies | Caribbean Studies,https://scholar.google.com/citations?hl=en&user=uxr05l8AAAAJ
Tammy Johnson,Claremont Graduate University,cgu.edu,74,Education | ESL | EFL | model minority myth | teacher education,https://scholar.google.com/citations?hl=en&user=UHflCUsAAAAJ
Yang Zhong,"MS Student of GIS, Claremont Graduate University",cgu.edu,74,Web GIS | Machine Learning | IoT,https://scholar.google.com/citations?hl=en&user=_UhM51oAAAAJ
Nicole Duong,Claremont Graduate University,Not Mentioned,71,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pcuIZ2gAAAAJ
Dr. Tamara L. Siuda,"PhD Religion, Claremont Graduate University",cgu.edu,69,Coptology | Egyptology | Egypt | Middle East | Ancient Near East,https://scholar.google.com/citations?hl=en&user=-dmfBkAAAAAJ
Yadong Ruan,Claremont Graduate University,cgu.edu,63,machine learning | PDE analysis | fluid dynamics,https://scholar.google.com/citations?hl=en&user=lIpR-H0AAAAJ
Jonathan TD Neil,Claremont Graduate University,cgu.edu,61,art | art history and criticism | entrepreneurship | art markets | arts institutions,https://scholar.google.com/citations?hl=en&user=C-p4HTMAAAAJ
Thao Nguyen,Claremont Graduate University,cgu.edu,60,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7HJB78YAAAAJ
Andrea L. Ruybal,Claremont Graduate University,cgu.edu,57,depression | social psychology | mental illness | attribution theory | stigma,https://scholar.google.com/citations?hl=en&user=_9WHInIAAAAJ
Maria McManus,Claremont Graduate University,cgu.edu,52,Emotion | Positive Affect | Low-arousal Positive Affect,https://scholar.google.com/citations?hl=en&user=aSkjjUoAAAAJ
Sara A. Goring,Claremont Graduate University,cgu.edu,52,Language | Cognition | Statistical Modeling,https://scholar.google.com/citations?hl=en&user=72KmnQYAAAAJ
Leslie L Trainor,Claremont Graduate University,cgu.edu,47,Women in Leadership | Toxic Leadership | Organizational Structure,https://scholar.google.com/citations?hl=en&user=9LJO3ZQAAAAJ
Daniel Pinedo,"MA, Organizational Behavior & Evaluation, Claremont Graduate University",cgu.edu,44,statistics | data science | evaluation | organizational behavior | organizational culture,https://scholar.google.com/citations?hl=en&user=owb4eZUAAAAJ
"Sarah Zlatkovic, MS, MA, GStat","Evaluation and Applied Research Methods, Claremont Graduate University",cgu.edu,42,social justice through evaluation practice | disability-inclusive evaluation practices | program evaluation | applied research meth,https://scholar.google.com/citations?hl=en&user=jZ-iXucAAAAJ
Yongseok Choi,Claremont Graduate University,cgu.edu,35,International Money and Finance | Economic Development,https://scholar.google.com/citations?hl=en&user=tmMV4tgAAAAJ
Song Xiaojia,Claremont Graduate University & San Diego State university,cgu.edu,34,High performance computing | Algorithms optimization,https://scholar.google.com/citations?hl=en&user=JWxODxEAAAAJ
Dr. Nazanin Zargarpour,"Faculty, Claremont Graduate University",cgu.edu,32,evaluation | collaboratives | education | social impact,https://scholar.google.com/citations?hl=en&user=j8995q8AAAAJ
Claudia Caceres,Claremont Graduate University,cgu.edu,29,GIS | Remote Sensing | Poverty Reduction | Climate Change | Economic Development,https://scholar.google.com/citations?hl=en&user=0JyE5tAAAAAJ
Pornpat Sirithumgul,"Postdoctoral researcher, Claremont Graduate University",cgu.edu,29,Software Engineering | Data Science | Natural Language Processing | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=DdPULLUAAAAJ
Pouye Sedighian,Claremont Graduate University,cgu.edu,28,Not Mentioned,https://scholar.google.com/citations?hl=en&user=kEyLOLcAAAAJ
Godswill Arugu,"School of Community and Global Health, Claremont Graduate University",cgu.edu,28,… of Chronic and Emerging Infectious Diseases | Data Analysis,https://scholar.google.com/citations?hl=en&user=OHVkvpsAAAAJ
Abigail M. Dean,Claremont Graduate University,cgu.edu,27,Cognitive Psychology,https://scholar.google.com/citations?hl=en&user=ElavMtgAAAAJ
Dr. Tasha Straszewski,Claremont Graduate University,cgu.edu,24,social psychology | health behavior change | depression | positive emotion | motivation,https://scholar.google.com/citations?hl=en&user=Wu3JFL4AAAAJ
Han Hao,Claremont Graduate University,cgu.edu,23,Working Memory | Attention | Intelligence | Psychometrics,https://scholar.google.com/citations?hl=en&user=FT_5FJoAAAAJ
Jennifer P. Villalobos,Claremont Graduate University,cgu.edu,22,Positive Psychology | Evaluation,https://scholar.google.com/citations?hl=en&user=QRWEco0AAAAJ
Hye Ok Park,"Claremont Graduate University, Ph. D., History",cgu.edu,21,history of early printing | library and information science | online learning and teaching,https://scholar.google.com/citations?hl=en&user=iF__odUAAAAJ
Katherine C. Cotter,Claremont Graduate University,cgu.edu,21,Global leadership | global leader development | leadership development,https://scholar.google.com/citations?hl=en&user=N2ahaKIAAAAJ
Robert Zappulla,"Chair, Dept. of Music, Claremont Graduate University",cgu.edu,20,Not Mentioned,https://scholar.google.com/citations?hl=en&user=KjUSPjQAAAAJ
Anne Cormia,Claremont Graduate University,cgu.edu,20,memory | metamemory,https://scholar.google.com/citations?hl=en&user=1z8lALQAAAAJ
Rhonda K Rodgers,Claremont Graduate University,cgu.edu,16,Mental and Emotional Self-Management | traumatic stress | chronic stress,https://scholar.google.com/citations?hl=en&user=wZP72foAAAAJ
Kristoffer Wikstrom,Claremont Graduate University,cgu.edu,15,Political Science | Econometrics | Agent-Based Modeling,https://scholar.google.com/citations?hl=en&user=gz2CNscAAAAJ
Sergio A. Gonzalez,PhD Candidate at Claremont Graduate University,cgu.edu,15,Jotería | Queer Latinx students | LGBTQ+ | Higher Education,https://scholar.google.com/citations?hl=en&user=8EtD2YkAAAAJ
Shamini Dias,Claremont Graduate University,cgu.edu,14,inclusive transformative pedagogy | contemplative pedagogy | semiotics | systems thinking and transdisciplinarity | arts education a,https://scholar.google.com/citations?hl=en&user=kAKfTYMAAAAJ
Shirley Ayangbah,Claremont Graduate University,cgu.edu,14,International Law | Political Science | Sustainable Development | Gender Studies | Human Rights,https://scholar.google.com/citations?hl=en&user=AEMkwDAAAAAJ
Alireza kazem,University Of California State Long Beach & Claremont Graduate University,CSULB.edu,13,Civil Eng | Structural Eng | Geotechnical Eng | Optimization,https://scholar.google.com/citations?hl=en&user=doCSmAQAAAAJ
Michael R Ho,Claremont Graduate University,cgu.edu,12,Cognitive Psychology,https://scholar.google.com/citations?hl=en&user=mxudJHUAAAAJ
Roberto Clairmont,"Graduate Researcher, Cornell University",cornell.edu,12,Seismic interpretation | sequence stratigraphy | geothermal | hydrogeophysics,https://scholar.google.com/citations?hl=en&user=s4QKpNwAAAAJ
